stock_date,company_name,stock_price
6/6/2021,BHARTIARTL,8552
4/30/2020,BHARTIARTL,514.3
5/4/2020,BHARTIARTL,532.5
5/5/2020,BHARTIARTL,528.05
5/6/2020,BHARTIARTL,546
5/7/2020,BHARTIARTL,528.05
5/8/2020,BHARTIARTL,530.05
5/11/2020,BHARTIARTL,536.2
5/12/2020,BHARTIARTL,559.85
5/13/2020,BHARTIARTL,555.95
5/14/2020,BHARTIARTL,539.85
5/15/2020,BHARTIARTL,554.1
5/18/2020,BHARTIARTL,538.05
5/19/2020,BHARTIARTL,598.8
5/20/2020,BHARTIARTL,594.05
5/21/2020,BHARTIARTL,594.55
5/22/2020,BHARTIARTL,593.2
5/26/2020,BHARTIARTL,559.25
5/27/2020,BHARTIARTL,563.1
5/28/2020,BHARTIARTL,562.75
5/29/2020,BHARTIARTL,552.6
6/1/2020,BHARTIARTL,559.05
6/2/2020,BHARTIARTL,558.1
6/3/2020,BHARTIARTL,551.65
6/4/2020,BHARTIARTL,572.45
6/5/2020,BHARTIARTL,584.35
6/8/2020,BHARTIARTL,585.15
6/9/2020,BHARTIARTL,567.8
6/10/2020,BHARTIARTL,567.1
6/11/2020,BHARTIARTL,551.85
6/12/2020,BHARTIARTL,560.1
6/15/2020,BHARTIARTL,550.7
6/16/2020,BHARTIARTL,544.9
6/17/2020,BHARTIARTL,563.45
6/18/2020,BHARTIARTL,560.9
6/19/2020,BHARTIARTL,572.5
6/22/2020,BHARTIARTL,581.05
6/23/2020,BHARTIARTL,578.8
6/24/2020,BHARTIARTL,557.35
6/25/2020,BHARTIARTL,559
6/26/2020,BHARTIARTL,560.4
6/29/2020,BHARTIARTL,567.1
6/30/2020,BHARTIARTL,559.85
7/1/2020,BHARTIARTL,560.15
7/2/2020,BHARTIARTL,558.45
7/3/2020,BHARTIARTL,581.45
7/6/2020,BHARTIARTL,576.6
7/7/2020,BHARTIARTL,567.15
7/8/2020,BHARTIARTL,561.3
7/9/2020,BHARTIARTL,568.65
7/10/2020,BHARTIARTL,574.7
7/13/2020,BHARTIARTL,586.8
7/14/2020,BHARTIARTL,589.35
7/15/2020,BHARTIARTL,563.6
7/16/2020,BHARTIARTL,562.75
7/17/2020,BHARTIARTL,566.75
7/20/2020,BHARTIARTL,575.75
7/21/2020,BHARTIARTL,567.75
7/22/2020,BHARTIARTL,569.15
7/23/2020,BHARTIARTL,567.2
7/24/2020,BHARTIARTL,559.45
7/27/2020,BHARTIARTL,559.5
7/28/2020,BHARTIARTL,564.6
7/29/2020,BHARTIARTL,566.2
7/30/2020,BHARTIARTL,552.7
7/31/2020,BHARTIARTL,554.85
8/3/2020,BHARTIARTL,547.35
8/4/2020,BHARTIARTL,549
8/5/2020,BHARTIARTL,558.95
