stock_date,company_name,stock_price
4/30/2021,CIPLA,1457.35
4/29/2021,CIPLA,1465.25
4/28/2021,CIPLA,1435.05
4/27/2021,CIPLA,1355.85
4/26/2021,CIPLA,1247.55
4/23/2021,CIPLA,1205.9
4/22/2021,CIPLA,1114.25
4/20/2021,CIPLA,1203.4
4/19/2021,CIPLA,1297.05
4/16/2021,CIPLA,1280.7
4/15/2021,CIPLA,1270.05
4/13/2021,CIPLA,1220.15
4/12/2021,CIPLA,1203.85
4/9/2021,CIPLA,1208.8
4/8/2021,CIPLA,1201.1
4/7/2021,CIPLA,1212
4/6/2021,CIPLA,1194.3
4/5/2021,CIPLA,1190.3
4/1/2021,CIPLA,1183.75
3/31/2021,CIPLA,1173.1
3/30/2021,CIPLA,1219.5
3/26/2021,CIPLA,1270.85
3/25/2021,CIPLA,1243.4
3/24/2021,CIPLA,1216.15
3/23/2021,CIPLA,1220.8
3/22/2021,CIPLA,1205.65
3/19/2021,CIPLA,1218.15
3/18/2021,CIPLA,1197.6
3/17/2021,CIPLA,1165.65
3/16/2021,CIPLA,1152.45
3/15/2021,CIPLA,1151.8
3/12/2021,CIPLA,1164.75
3/10/2021,CIPLA,1257.85
3/9/2021,CIPLA,1201.15
3/8/2021,CIPLA,1166.7
3/5/2021,CIPLA,1126.75
3/4/2021,CIPLA,1143.35
3/3/2021,CIPLA,1149.55
3/2/2021,CIPLA,1134.75
3/1/2021,CIPLA,1195.45
2/26/2021,CIPLA,1149.5
2/25/2021,CIPLA,1057.55
2/24/2021,CIPLA,972.95
2/23/2021,CIPLA,895.15
2/22/2021,CIPLA,929.65
2/19/2021,CIPLA,924.7
2/18/2021,CIPLA,927.4
2/17/2021,CIPLA,901.4
2/16/2021,CIPLA,973.55
2/15/2021,CIPLA,1051.45
2/12/2021,CIPLA,1135.6
2/11/2021,CIPLA,1150.4
2/10/2021,CIPLA,1063.25
2/9/2021,CIPLA,1135.15
2/8/2021,CIPLA,1167.9
2/5/2021,CIPLA,1165.15
2/4/2021,CIPLA,1118.15
2/3/2021,CIPLA,1064.4
2/2/2021,CIPLA,1027.6
2/1/2021,CIPLA,1048.4
1/29/2021,CIPLA,1050.8
1/28/2021,CIPLA,1133.35
1/27/2021,CIPLA,1201.1
1/25/2021,CIPLA,1161.45
1/22/2021,CIPLA,1169.3
1/21/2021,CIPLA,1148.35
1/20/2021,CIPLA,1239.45
1/19/2021,CIPLA,1301.55
1/18/2021,CIPLA,1298.7
1/15/2021,CIPLA,1238
1/14/2021,CIPLA,1212.9
1/13/2021,CIPLA,1133.15
1/12/2021,CIPLA,1146.1
1/11/2021,CIPLA,1097.6
1/8/2021,CIPLA,1034.7
1/7/2021,CIPLA,954.45
1/6/2021,CIPLA,953.95
1/5/2021,CIPLA,1006.95
