stock_date,company_name,stock_price
4/30/2021,HDFC,293.5
4/29/2021,HDFC,304.05
4/28/2021,HDFC,292.8
4/27/2021,HDFC,296.45
4/26/2021,HDFC,286.55
4/23/2021,HDFC,287.2
4/22/2021,HDFC,283.85
4/20/2021,HDFC,285.6
4/19/2021,HDFC,283.85
4/16/2021,HDFC,286.55
4/15/2021,HDFC,302.2
4/13/2021,HDFC,305.75
4/12/2021,HDFC,305.25
4/9/2021,HDFC,291.35
4/8/2021,HDFC,299.55
4/7/2021,HDFC,293.05
4/6/2021,HDFC,303.15
4/5/2021,HDFC,316.6
4/1/2021,HDFC,324.4
3/31/2021,HDFC,333.5
3/30/2021,HDFC,350.55
3/26/2021,HDFC,351.4
3/25/2021,HDFC,341.9
3/24/2021,HDFC,357.2
3/23/2021,HDFC,355.45
3/22/2021,HDFC,350.5
3/19/2021,HDFC,329.15
3/18/2021,HDFC,320.35
3/17/2021,HDFC,343.65
3/16/2021,HDFC,359.15
3/15/2021,HDFC,332.6
3/12/2021,HDFC,341.6
3/10/2021,HDFC,339.2
3/9/2021,HDFC,327.9
3/8/2021,HDFC,319.15
3/5/2021,HDFC,305.95
3/4/2021,HDFC,330.45
3/3/2021,HDFC,351.7
3/2/2021,HDFC,379.85
3/1/2021,HDFC,409.7
2/26/2021,HDFC,401.7
2/25/2021,HDFC,433.85
2/24/2021,HDFC,468.6
2/23/2021,HDFC,473.05
2/22/2021,HDFC,443.5
2/19/2021,HDFC,412.2
2/18/2021,HDFC,416.7
2/17/2021,HDFC,399.6
2/16/2021,HDFC,397.55
2/15/2021,HDFC,381.6
2/12/2021,HDFC,396.65
2/11/2021,HDFC,400.5
2/10/2021,HDFC,398.2
2/9/2021,HDFC,406.35
2/8/2021,HDFC,413.25
2/5/2021,HDFC,409.85
2/4/2021,HDFC,416.8
2/3/2021,HDFC,417.4
2/2/2021,HDFC,412.7
2/1/2021,HDFC,380.3
1/29/2021,HDFC,363.85
1/28/2021,HDFC,393
1/27/2021,HDFC,424.45
1/25/2021,HDFC,458.45
1/22/2021,HDFC,469.8
1/21/2021,HDFC,459.25
1/20/2021,HDFC,490.95
1/19/2021,HDFC,477.7
1/18/2021,HDFC,464.3
1/15/2021,HDFC,453.25
1/14/2021,HDFC,448.7
1/13/2021,HDFC,433.1
1/12/2021,HDFC,445.4
1/11/2021,HDFC,459.35
1/8/2021,HDFC,475.1
1/7/2021,HDFC,448.05
1/6/2021,HDFC,456.9
1/5/2021,HDFC,460.65
1/4/2021,HDFC,460.15
1/1/2021,HDFC,472.35
12/31/2020,HDFC,479.35
12/30/2020,HDFC,460.85
12/29/2020,HDFC,455.75
12/28/2020,HDFC,449
12/24/2020,HDFC,437.55
12/23/2020,HDFC,424.95
12/22/2020,HDFC,441.75
12/21/2020,HDFC,448.65
12/18/2020,HDFC,461.05
12/17/2020,HDFC,460.4
12/16/2020,HDFC,471.75
12/15/2020,HDFC,461.35
12/14/2020,HDFC,465.45
12/11/2020,HDFC,477.65
12/10/2020,HDFC,486.15
12/9/2020,HDFC,501.9
12/8/2020,HDFC,486.4
12/7/2020,HDFC,473
12/4/2020,HDFC,483.3
12/3/2020,HDFC,541.3
12/2/2020,HDFC,543.65
12/1/2020,HDFC,478.45
11/27/2020,HDFC,496.35
11/26/2020,HDFC,525.35
11/25/2020,HDFC,544.7
11/24/2020,HDFC,530.7
11/23/2020,HDFC,513.2
11/20/2020,HDFC,515.25
11/19/2020,HDFC,509.35
11/18/2020,HDFC,503.6
11/17/2020,HDFC,495.35
11/14/2020,HDFC,488.2
11/13/2020,HDFC,484.85
11/12/2020,HDFC,499.85
11/11/2020,HDFC,504.1
11/10/2020,HDFC,509.2
11/9/2020,HDFC,525.1
11/6/2020,HDFC,525.35
11/5/2020,HDFC,536.25
11/4/2020,HDFC,541.15
11/3/2020,HDFC,558.2
11/2/2020,HDFC,551.55
10/30/2020,HDFC,548.15
10/29/2020,HDFC,551.65
10/28/2020,HDFC,548.7
10/27/2020,HDFC,480
10/26/2020,HDFC,484.65
10/23/2020,HDFC,511.25
10/22/2020,HDFC,499.9
10/21/2020,HDFC,489.85
10/20/2020,HDFC,481.2
10/19/2020,HDFC,490.55
10/16/2020,HDFC,487.65
10/15/2020,HDFC,478.55
10/14/2020,HDFC,480.95
10/13/2020,HDFC,475.55
10/12/2020,HDFC,475.3
10/9/2020,HDFC,511.65
10/8/2020,HDFC,509.25
10/7/2020,HDFC,501
10/6/2020,HDFC,498.4
10/5/2020,HDFC,499.75
10/1/2020,HDFC,500.3
9/30/2020,HDFC,500.05
9/29/2020,HDFC,505.9
9/28/2020,HDFC,499.3
9/25/2020,HDFC,491.75
9/24/2020,HDFC,489.15
9/23/2020,HDFC,503.15
9/22/2020,HDFC,502.75
9/21/2020,HDFC,505.55
9/18/2020,HDFC,493.55
9/17/2020,HDFC,496.05
9/16/2020,HDFC,504.95
9/15/2020,HDFC,503.15
9/14/2020,HDFC,522.8
9/11/2020,HDFC,513
9/10/2020,HDFC,501.1
9/9/2020,HDFC,490.4
9/8/2020,HDFC,482.9
9/7/2020,HDFC,489.6
9/4/2020,HDFC,495.35
9/3/2020,HDFC,500.5
9/2/2020,HDFC,500.7
9/1/2020,HDFC,505
8/31/2020,HDFC,520.15
8/28/2020,HDFC,524.05
8/27/2020,HDFC,528.25
8/26/2020,HDFC,544.6
8/25/2020,HDFC,539.95
8/24/2020,HDFC,534.3
8/21/2020,HDFC,532.2
8/20/2020,HDFC,529.45
8/19/2020,HDFC,520.65
8/18/2020,HDFC,506
8/17/2020,HDFC,513.55
8/14/2020,HDFC,507.5
8/13/2020,HDFC,499.55
8/12/2020,HDFC,502.05
8/11/2020,HDFC,500
8/10/2020,HDFC,499.7
8/7/2020,HDFC,481
8/6/2020,HDFC,474.95
8/5/2020,HDFC,445.15
8/4/2020,HDFC,426.55
8/3/2020,HDFC,441.05
7/31/2020,HDFC,437.85
7/30/2020,HDFC,433.9
7/29/2020,HDFC,439
7/28/2020,HDFC,439
7/27/2020,HDFC,449.45
7/24/2020,HDFC,449.25
7/23/2020,HDFC,455.95
7/22/2020,HDFC,448.6
7/21/2020,HDFC,449.65
7/20/2020,HDFC,450
7/17/2020,HDFC,450.85
7/16/2020,HDFC,458.8
7/15/2020,HDFC,458.75
7/14/2020,HDFC,477.4
7/13/2020,HDFC,469.75
7/10/2020,HDFC,464.65
7/9/2020,HDFC,457.35
7/8/2020,HDFC,462.2
7/7/2020,HDFC,461.3
7/6/2020,HDFC,464.1
7/3/2020,HDFC,471.45
7/2/2020,HDFC,470.25
7/1/2020,HDFC,480
6/30/2020,HDFC,489.85
6/29/2020,HDFC,488.5
6/26/2020,HDFC,482.9
6/25/2020,HDFC,485.6
6/24/2020,HDFC,489
6/23/2020,HDFC,488.2
6/22/2020,HDFC,496.85
6/19/2020,HDFC,508.05
6/18/2020,HDFC,496.8
6/17/2020,HDFC,500.4
6/16/2020,HDFC,494.65
6/15/2020,HDFC,489.2
6/12/2020,HDFC,477.35
6/11/2020,HDFC,477.25
6/10/2020,HDFC,474.15
6/9/2020,HDFC,485.5
6/8/2020,HDFC,509.4
6/5/2020,HDFC,525.1
6/4/2020,HDFC,528
6/3/2020,HDFC,524.65
6/2/2020,HDFC,529.2
6/1/2020,HDFC,519.5
5/29/2020,HDFC,523.4
5/28/2020,HDFC,522.55
