stock_date,company_name,stock_price
4/30/2020,INFY,715.5
5/4/2020,INFY,673.7
5/5/2020,INFY,673.7
5/6/2020,INFY,665.9
5/7/2020,INFY,664.95
5/8/2020,INFY,674.2
5/11/2020,INFY,682.9
5/12/2020,INFY,687.65
5/13/2020,INFY,694.15
5/14/2020,INFY,658.15
5/15/2020,INFY,652.3
5/18/2020,INFY,663.9
5/19/2020,INFY,668.6
5/20/2020,INFY,669.55
5/21/2020,INFY,672.2
5/22/2020,INFY,692.35
5/26/2020,INFY,680.55
5/27/2020,INFY,705.45
5/28/2020,INFY,707.4
5/29/2020,INFY,691
6/1/2020,INFY,699.55
6/2/2020,INFY,708.1
6/3/2020,INFY,701.55
6/4/2020,INFY,707.75
6/5/2020,INFY,703.55
6/8/2020,INFY,720.85
6/9/2020,INFY,717.6
6/10/2020,INFY,715.85
6/11/2020,INFY,703.95
6/12/2020,INFY,692.05
6/15/2020,INFY,687.55
6/16/2020,INFY,701.2
6/17/2020,INFY,703.65
6/18/2020,INFY,713.9
6/19/2020,INFY,705.55
6/22/2020,INFY,703.7
6/23/2020,INFY,720.65
6/24/2020,INFY,714.15
6/25/2020,INFY,700.5
6/26/2020,INFY,748.2
6/29/2020,INFY,731.75
6/30/2020,INFY,735.95
7/1/2020,INFY,731.9
7/2/2020,INFY,756.6
7/3/2020,INFY,762.7
7/6/2020,INFY,764
7/7/2020,INFY,794.15
7/8/2020,INFY,774.7
7/9/2020,INFY,781.7
7/10/2020,INFY,781.85
7/13/2020,INFY,797.05
7/14/2020,INFY,783.25
7/15/2020,INFY,830.95
7/16/2020,INFY,911
7/17/2020,INFY,903.15
7/20/2020,INFY,934.3
7/21/2020,INFY,936.75
7/22/2020,INFY,917.9
7/23/2020,INFY,907.95
7/24/2020,INFY,922.85
7/27/2020,INFY,948.45
7/28/2020,INFY,962.85
7/29/2020,INFY,954.15
7/30/2020,INFY,961.45
7/31/2020,INFY,966
8/3/2020,INFY,956.9
8/4/2020,INFY,949.85
8/5/2020,INFY,944.7
8/6/2020,INFY,970.85
8/7/2020,INFY,950.9
8/10/2020,INFY,951.35
8/11/2020,INFY,948.45
8/12/2020,INFY,954.95
8/13/2020,INFY,951.2
8/14/2020,INFY,953.6
8/17/2020,INFY,957.5
8/18/2020,INFY,967.55
8/19/2020,INFY,959.3
8/20/2020,INFY,955.15
8/21/2020,INFY,948.8
8/24/2020,INFY,947.4
8/25/2020,INFY,938.1
8/26/2020,INFY,950.8
8/27/2020,INFY,947.05
8/28/2020,INFY,935.25
8/31/2020,INFY,928.6
9/1/2020,INFY,914.15
9/2/2020,INFY,924
9/3/2020,INFY,935.55
9/4/2020,INFY,919.15
9/7/2020,INFY,925.05
9/8/2020,INFY,939.3
9/9/2020,INFY,927.75
9/10/2020,INFY,940.05
9/11/2020,INFY,945.7
9/14/2020,INFY,978.4
9/15/2020,INFY,982.45
9/16/2020,INFY,1001.75
9/17/2020,INFY,1011
9/18/2020,INFY,1002.15
9/21/2020,INFY,1009.9
9/22/2020,INFY,1007.5
9/23/2020,INFY,1019.75
9/24/2020,INFY,975.4
9/25/2020,INFY,1011.45
9/28/2020,INFY,1010.4
9/29/2020,INFY,1009
9/30/2020,INFY,1008.25
10/1/2020,INFY,1017.65
10/5/2020,INFY,1048.7
10/6/2020,INFY,1055.75
10/7/2020,INFY,1066.55
10/8/2020,INFY,1093.7
10/9/2020,INFY,1106.8
10/12/2020,INFY,1132.1
10/13/2020,INFY,1157.8
10/14/2020,INFY,1137
10/15/2020,INFY,1108.25
10/16/2020,INFY,1127.5
10/19/2020,INFY,1125.9
10/20/2020,INFY,1137.5
10/21/2020,INFY,1148.35
10/22/2020,INFY,1129.05
10/23/2020,INFY,1122.5
10/26/2020,INFY,1112.45
10/27/2020,INFY,1090.85
10/28/2020,INFY,1076.55
10/29/2020,INFY,1074.85
10/30/2020,INFY,1060.6
11/2/2020,INFY,1072.3
11/3/2020,INFY,1062.55
11/4/2020,INFY,1093.95
11/5/2020,INFY,1104
11/6/2020,INFY,1112.75
11/9/2020,INFY,1136.55
11/10/2020,INFY,1091.05
11/11/2020,INFY,1122.5
11/12/2020,INFY,1117.75
11/13/2020,INFY,1124.2
11/14/2020,INFY,1133.45
11/17/2020,INFY,1123.7
11/18/2020,INFY,1110.55
11/19/2020,INFY,1096.75
11/20/2020,INFY,1103.35
11/23/2020,INFY,1139.85
11/24/2020,INFY,1140.05
11/25/2020,INFY,1115.65
11/26/2020,INFY,1113.2
11/27/2020,INFY,1100
12/1/2020,INFY,1137.85
12/2/2020,INFY,1140.9
12/3/2020,INFY,1126.45
12/4/2020,INFY,1134.65
12/7/2020,INFY,1143.5
12/8/2020,INFY,1153.35
12/9/2020,INFY,1175.2
12/10/2020,INFY,1167.75
12/11/2020,INFY,1163.2
12/14/2020,INFY,1164.55
12/15/2020,INFY,1154.6
12/16/2020,INFY,1165.7
12/17/2020,INFY,1159.2
12/18/2020,INFY,1189.8
12/21/2020,INFY,1177.3
12/22/2020,INFY,1220.5
12/23/2020,INFY,1253.05
12/24/2020,INFY,1236.05
12/28/2020,INFY,1240.3
12/29/2020,INFY,1250.3
12/30/2020,INFY,1246.8
12/31/2020,INFY,1255.8
1/1/2021,INFY,1260.45
1/4/2021,INFY,1288.25
1/5/2021,INFY,1293.8
1/6/2021,INFY,1282.1
1/7/2021,INFY,1262.15
1/8/2021,INFY,1312.1
1/11/2021,INFY,1376.2
1/12/2021,INFY,1371.75
1/13/2021,INFY,1387.15
1/14/2021,INFY,1370.5
1/15/2021,INFY,1344.95
1/18/2021,INFY,1312.05
1/19/2021,INFY,1316.65
1/20/2021,INFY,1339.45
1/21/2021,INFY,1339.7
1/22/2021,INFY,1340.85
1/25/2021,INFY,1325.1
1/27/2021,INFY,1301
1/28/2021,INFY,1276.2
1/29/2021,INFY,1239.05
2/1/2021,INFY,1260.9
2/2/2021,INFY,1271.25
2/3/2021,INFY,1284.65
2/4/2021,INFY,1279.35
2/5/2021,INFY,1272.1
2/8/2021,INFY,1303.55
2/9/2021,INFY,1305.55
2/10/2021,INFY,1296.5
2/11/2021,INFY,1292.65
2/12/2021,INFY,1309.8
2/15/2021,INFY,1309.65
2/16/2021,INFY,1290.4
2/17/2021,INFY,1281.3
2/18/2021,INFY,1292.45
2/19/2021,INFY,1291.3
2/22/2021,INFY,1265.2
2/23/2021,INFY,1266.35
2/24/2021,INFY,1274.3
2/25/2021,INFY,1274.55
2/26/2021,INFY,1253.3
3/1/2021,INFY,1267
3/2/2021,INFY,1304.5
3/3/2021,INFY,1343.55
3/4/2021,INFY,1330.35
3/5/2021,INFY,1316.7
3/8/2021,INFY,1335.75
3/9/2021,INFY,1345.55
3/10/2021,INFY,1368.15
3/12/2021,INFY,1374.85
3/15/2021,INFY,1373.6
3/16/2021,INFY,1384
3/17/2021,INFY,1387
3/18/2021,INFY,1337.1
3/19/2021,INFY,1344.45
3/22/2021,INFY,1370.8
3/23/2021,INFY,1371.55
3/24/2021,INFY,1353.75
3/25/2021,INFY,1333.8
3/26/2021,INFY,1336.2
3/30/2021,INFY,1385.3
3/31/2021,INFY,1368.05
4/1/2021,INFY,1385.2
4/5/2021,INFY,1409.9
4/6/2021,INFY,1411.05
4/7/2021,INFY,1430.2
4/8/2021,INFY,1439.85
4/9/2021,INFY,1441.05
4/12/2021,INFY,1425.75
4/13/2021,INFY,1397.15
4/15/2021,INFY,1360.75
