stock_date,company_name,stock_price
4/30/2020,SBIN,190.5
5/4/2020,SBIN,178.85
5/5/2020,SBIN,170.4
5/6/2020,SBIN,171.1
5/7/2020,SBIN,170.75
5/8/2020,SBIN,166.65
5/11/2020,SBIN,165.45
5/12/2020,SBIN,166.9
5/13/2020,SBIN,174.1
5/14/2020,SBIN,167.95
5/15/2020,SBIN,166.4
5/18/2020,SBIN,155.3
5/19/2020,SBIN,152.8
5/20/2020,SBIN,153.4
5/21/2020,SBIN,151.95
5/22/2020,SBIN,150.85
5/26/2020,SBIN,151.4
5/27/2020,SBIN,158.6
5/28/2020,SBIN,158.2
5/29/2020,SBIN,161.3
6/1/2020,SBIN,170.05
6/2/2020,SBIN,170.25
6/3/2020,SBIN,174.9
6/4/2020,SBIN,174.05
6/5/2020,SBIN,187.8
6/8/2020,SBIN,186.8
6/9/2020,SBIN,184.45
6/10/2020,SBIN,187.7
6/11/2020,SBIN,177.15
6/12/2020,SBIN,179.15
6/15/2020,SBIN,173.7
6/16/2020,SBIN,172.9
6/17/2020,SBIN,172.95
6/18/2020,SBIN,179.65
6/19/2020,SBIN,184.5
6/22/2020,SBIN,187.7
6/23/2020,SBIN,192.45
6/24/2020,SBIN,184.6
6/25/2020,SBIN,185.25
6/26/2020,SBIN,184.6
6/29/2020,SBIN,179.25
6/30/2020,SBIN,178.45
7/1/2020,SBIN,184.8
7/2/2020,SBIN,185.45
7/3/2020,SBIN,184.7
7/6/2020,SBIN,188.05
7/7/2020,SBIN,188.6
7/8/2020,SBIN,191.9
7/9/2020,SBIN,199.1
7/10/2020,SBIN,195.6
7/13/2020,SBIN,192.7
7/14/2020,SBIN,186.05
7/15/2020,SBIN,183.8
7/16/2020,SBIN,186.25
7/17/2020,SBIN,188.2
7/20/2020,SBIN,190.75
7/21/2020,SBIN,194.4
7/22/2020,SBIN,192
7/23/2020,SBIN,198.25
7/24/2020,SBIN,191.95
7/27/2020,SBIN,187.15
7/28/2020,SBIN,189.45
7/29/2020,SBIN,191.2
7/30/2020,SBIN,186.55
7/31/2020,SBIN,191.45
8/3/2020,SBIN,192.25
8/4/2020,SBIN,191.6
8/5/2020,SBIN,191.45
8/6/2020,SBIN,190.95
8/7/2020,SBIN,190.65
8/10/2020,SBIN,193.8
8/11/2020,SBIN,195.05
8/12/2020,SBIN,203.3
8/13/2020,SBIN,201.9
8/14/2020,SBIN,196.5
8/17/2020,SBIN,193.1
8/18/2020,SBIN,195.1
8/19/2020,SBIN,197.05
8/20/2020,SBIN,194.75
8/21/2020,SBIN,198.4
8/24/2020,SBIN,201.45
8/25/2020,SBIN,207.95
8/26/2020,SBIN,209.85
8/27/2020,SBIN,215.65
8/28/2020,SBIN,224.85
8/31/2020,SBIN,212
9/1/2020,SBIN,218.1
9/2/2020,SBIN,216.25
9/3/2020,SBIN,213.15
9/4/2020,SBIN,206.6
9/7/2020,SBIN,207.9
9/8/2020,SBIN,204.05
9/9/2020,SBIN,194.85
9/10/2020,SBIN,198.15
9/11/2020,SBIN,202.7
9/14/2020,SBIN,198.5
9/15/2020,SBIN,200.15
9/16/2020,SBIN,198.2
9/17/2020,SBIN,195.45
9/18/2020,SBIN,192.6
9/21/2020,SBIN,185.8
9/22/2020,SBIN,186.2
9/23/2020,SBIN,183.8
9/24/2020,SBIN,176.35
9/25/2020,SBIN,182.2
9/28/2020,SBIN,187.25
9/29/2020,SBIN,185.05
9/30/2020,SBIN,185.4
10/1/2020,SBIN,190.3
10/5/2020,SBIN,188.75
10/6/2020,SBIN,191.6
10/7/2020,SBIN,190.7
10/8/2020,SBIN,191.5
10/9/2020,SBIN,198.3
10/12/2020,SBIN,198.7
10/13/2020,SBIN,195.7
10/14/2020,SBIN,200.05
10/15/2020,SBIN,192.85
