stock_date,company_name,stock_price
4/30/2020,WIPRO,190.95
5/4/2020,WIPRO,190.05
5/5/2020,WIPRO,184.2
5/6/2020,WIPRO,187.05
5/7/2020,WIPRO,184.1
5/8/2020,WIPRO,184
5/11/2020,WIPRO,184.7
5/12/2020,WIPRO,187.05
5/13/2020,WIPRO,189.7
5/14/2020,WIPRO,186
5/15/2020,WIPRO,183.8
5/18/2020,WIPRO,182.2
5/19/2020,WIPRO,184.4
5/20/2020,WIPRO,184.95
5/21/2020,WIPRO,189.1
5/22/2020,WIPRO,189
5/26/2020,WIPRO,188.8
5/27/2020,WIPRO,201.25
5/28/2020,WIPRO,199.35
5/29/2020,WIPRO,212.8
6/1/2020,WIPRO,215.05
6/2/2020,WIPRO,215.85
6/3/2020,WIPRO,211.35
6/4/2020,WIPRO,216.25
6/5/2020,WIPRO,218.75
6/8/2020,WIPRO,226.45
6/9/2020,WIPRO,218.35
6/10/2020,WIPRO,217
6/11/2020,WIPRO,212.9
6/12/2020,WIPRO,207.9
6/15/2020,WIPRO,213.8
6/16/2020,WIPRO,212.4
6/17/2020,WIPRO,217.8
6/18/2020,WIPRO,218.15
6/19/2020,WIPRO,222.05
6/22/2020,WIPRO,218.05
6/23/2020,WIPRO,220.6
6/24/2020,WIPRO,218.2
6/25/2020,WIPRO,218.2
6/26/2020,WIPRO,225.45
6/29/2020,WIPRO,219.7
6/30/2020,WIPRO,219.65
7/1/2020,WIPRO,219.05
7/2/2020,WIPRO,224.2
7/3/2020,WIPRO,224.8
7/6/2020,WIPRO,222.65
7/7/2020,WIPRO,224.9
7/8/2020,WIPRO,223.1
7/9/2020,WIPRO,221.6
7/10/2020,WIPRO,222.1
7/13/2020,WIPRO,227.6
7/14/2020,WIPRO,225
7/15/2020,WIPRO,262.75
7/16/2020,WIPRO,261.9
7/17/2020,WIPRO,261.35
7/20/2020,WIPRO,270.8
7/21/2020,WIPRO,271.35
7/22/2020,WIPRO,266
7/23/2020,WIPRO,266.6
7/24/2020,WIPRO,270.55
7/27/2020,WIPRO,268.85
7/28/2020,WIPRO,275.45
7/29/2020,WIPRO,277
7/30/2020,WIPRO,284.1
7/31/2020,WIPRO,280.95
8/3/2020,WIPRO,281.55
8/4/2020,WIPRO,281.05
8/5/2020,WIPRO,278.2
8/6/2020,WIPRO,279.65
8/7/2020,WIPRO,277.4
8/10/2020,WIPRO,277.4
8/11/2020,WIPRO,279.65
8/12/2020,WIPRO,276.2
8/13/2020,WIPRO,277
8/14/2020,WIPRO,276.5
8/17/2020,WIPRO,281.95
8/18/2020,WIPRO,282.7
8/19/2020,WIPRO,279.75
8/20/2020,WIPRO,274.2
8/21/2020,WIPRO,273.35
8/24/2020,WIPRO,272.7
8/25/2020,WIPRO,269.95
8/26/2020,WIPRO,272.05
8/27/2020,WIPRO,272.35
8/28/2020,WIPRO,272.05
8/31/2020,WIPRO,271.3
