,stock_date,company_name,stock_price
0,2020-04-30,BHARTIARTL,514.3
1,2020-05-04,BHARTIARTL,532.5
2,2020-05-05,BHARTIARTL,528.05
3,2020-05-06,BHARTIARTL,546.0
4,2020-05-07,BHARTIARTL,528.05
5,2020-05-08,BHARTIARTL,530.05
6,2020-05-11,BHARTIARTL,536.2
7,2020-05-12,BHARTIARTL,559.85
8,2020-05-13,BHARTIARTL,555.95
9,2020-05-14,BHARTIARTL,539.85
10,2020-05-15,BHARTIARTL,554.1
11,2020-05-18,BHARTIARTL,538.05
12,2020-05-19,BHARTIARTL,598.8
13,2020-05-20,BHARTIARTL,594.05
14,2020-05-21,BHARTIARTL,594.55
15,2020-05-22,BHARTIARTL,593.2
16,2020-05-26,BHARTIARTL,559.25
17,2020-05-27,BHARTIARTL,563.1
18,2020-05-28,BHARTIARTL,562.75
19,2020-05-29,BHARTIARTL,552.6
20,2020-06-01,BHARTIARTL,559.05
21,2020-06-02,BHARTIARTL,558.1
22,2020-06-03,BHARTIARTL,551.65
23,2020-06-04,BHARTIARTL,572.45
24,2020-06-05,BHARTIARTL,584.35
25,2020-06-08,BHARTIARTL,585.15
26,2020-06-09,BHARTIARTL,567.8
27,2020-06-10,BHARTIARTL,567.1
28,2020-06-11,BHARTIARTL,551.85
29,2020-06-12,BHARTIARTL,560.1
30,2020-06-15,BHARTIARTL,550.7
31,2020-06-16,BHARTIARTL,544.9
32,2020-06-17,BHARTIARTL,563.45
33,2020-06-18,BHARTIARTL,560.9
34,2020-06-19,BHARTIARTL,572.5
35,2020-06-22,BHARTIARTL,581.05
36,2020-06-23,BHARTIARTL,578.8
37,2020-06-24,BHARTIARTL,557.35
38,2020-06-25,BHARTIARTL,559.0
39,2020-06-26,BHARTIARTL,560.4
40,2020-06-29,BHARTIARTL,567.1
41,2020-06-30,BHARTIARTL,559.85
42,2020-07-01,BHARTIARTL,560.15
43,2020-07-02,BHARTIARTL,558.45
44,2020-07-03,BHARTIARTL,581.45
45,2020-07-06,BHARTIARTL,576.6
46,2020-07-07,BHARTIARTL,567.15
47,2020-07-08,BHARTIARTL,561.3
48,2020-07-09,BHARTIARTL,568.65
49,2020-07-10,BHARTIARTL,574.7
50,2020-07-13,BHARTIARTL,586.8
51,2020-07-14,BHARTIARTL,589.35
52,2020-07-15,BHARTIARTL,563.6
53,2020-07-16,BHARTIARTL,562.75
54,2020-07-17,BHARTIARTL,566.75
55,2020-07-20,BHARTIARTL,575.75
56,2020-07-21,BHARTIARTL,567.75
57,2020-07-22,BHARTIARTL,569.15
58,2020-07-23,BHARTIARTL,567.2
59,2020-07-24,BHARTIARTL,559.45
60,2020-07-27,BHARTIARTL,559.5
61,2020-07-28,BHARTIARTL,564.6
62,2020-07-29,BHARTIARTL,566.2
